TYPE,SOURCE,ASSET CLASS,TENOR,OWNER,RISK CENTRE,BASE CCY,QUOTE CCY,BID,OFFER,CATEGORY,,
FX,3,FXFWD,ON,,SIMU,EUR,USD,0.000112,0.000123,Market,0,A
FX,3,FXFWD,ON,,SIMU,EUR,USD,0.000112,0.000123,Market,0,A
FX,3,FXFWD,ON,,SIMU,EUR,USD,0.000112,0.000123,Market,0,A
MM,2,INTEREST,1W,,SIMU,JPY,,0.4525,0.5775,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,GBP,0.9007,0.90075,Market,0,A
FX,3,FXFWD,ON,,SIMU,EUR,USD,0.000112,0.000123,Market,0,A
FX,3,FXFWD,ON,,SIMU,EUR,USD,0.000112,0.000123,Market,0,A
FX,2,FXFWD,SN,,SIMU,AUD,USD,-0.000124,-0.000122,Market,0,A
FX,3,FXFWD,ON,,SIMU,EUR,USD,0.000112,0.000123,Market,0,A
FX,3,FXFWD,1M,,SIMU,USD,ZAR,0.098,0.108,Market,0,A
FX,2,FXFWD,TN,,SIMU,GBP,USD,-0.000104,-0.000077,Market,0,A
MM,2,INTEREST,2M,,SIMU,JPY,,0.6925,0.8175,Market,0,A
FX,2,FXFWD,3M,,SIMU,USD,SEK,0.037893,0.039734,Market,0,A
FX,2,FXFWD,TN,,SIMU,GBP,USD,-0.000101,-0.000075,Market,0,A
FX,2,FXFWD,TN,,SIMU,GBP,USD,-0.000101,-0.000076,Market,0,A
FX,2,FXFWD,TN,,SIMU,GBP,USD,-0.000101,-0.000075,Market,0,A
FX,2,FXFWD,TN,,SIMU,EUR,DKK,0.000427,0.000523,Market,0,A
FX,2,FXFWD,ON,,SIMU,EUR,DKK,0.000422,0.000533,Market,0,A
FX,2,FXFWD,TN,,SIMU,GBP,USD,-0.000101,-0.000075,Market,0,A
FX,2,FXFWD,TN,,SIMU,GBP,USD,-0.000102,-0.000076,Market,0,A
MM,2,INTEREST,2W,,SIMU,JPY,,0.475,0.6,Market,0,A
FX,2,FXFWD,TN,,SIMU,GBP,USD,-0.000101,-0.000075,Market,0,A
FX,2,FXFWD,TN,,SIMU,GBP,USD,-0.000101,-0.000075,Market,0,A
FX,2,FXFWD,1M,,SIMU,AUD,USD,-0.003728,-0.003656,Market,0,A
FX,2,FXFWD,TN,,SIMU,GBP,USD,-0.000101,-0.000075,Market,0,A
FX,2,FXFWD,6M,,SIMU,USD,SEK,0.049721,0.052135,Market,0,A
MM,2,INTEREST,3M,,SIMU,JPY,,0.775,0.9,Market,0,A
FX,2,FXFWD,TN,,SIMU,GBP,USD,-0.000101,-0.000075,Market,0,A
FX,2,FXFWD,TN,,SIMU,GBP,USD,-0.000101,-0.000075,Market,0,A
FX,3,FXFWD,1M,,SIMU,EUR,USD,-0.001969,-0.001907,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,GBP,0.9003,0.90075,Market,0,A
FX,2,FXFWD,1M,,SIMU,USD,NOK,0.017246,0.017817,Market,0,A
FX,2,FXFWD,1M,,SIMU,USD,DKK,0.008429,0.00875,Market,0,A
FX,2,FXFWD,1M,,SIMU,GBP,USD,-0.005043,-0.004962,Market,0,A
MM,2,INTEREST,4M,,SIMU,JPY,,0.80938,0.93438,Market,0,A
FX,2,FXFWD,6M,,SIMU,NZD,USD,0.040163,0.040864,Market,0,A
FX,3,FXFWD,3M,,SIMU,EUR,USD,-0.006833,-0.006648,Market,0,A
FX,2,FXFWD,SN,,SIMU,USD,JPY,-0.0061,-0.0057,Market,0,A
FX,2,FXFWD,9M,,SIMU,USD,SEK,0.106401,0.111567,Market,0,A
FX,2,FXFWD,3M,,SIMU,AUD,USD,-0.009795,-0.009676,Market,0,A
FX,2,FXFWD,3M,,SIMU,GBP,USD,-0.014397,-0.014334,Market,0,A
MM,2,INTEREST,5M,,SIMU,JPY,,0.84188,0.96688,Market,0,A
FX,2,FXFWD,2M,,SIMU,EUR,NOK,1.88,2.33,Market,0,A
FX,3,FXFWD,6M,,SIMU,EUR,USD,-0.014522,-0.014038,Market,0,A
FX,2,FXFWD,3M,,SIMU,USD,NOK,0.049658,0.050504,Market,0,A
FX,2,FXFWD,1Y,,SIMU,USD,SEK,0.138304,0.145019,Market,0,A
FX,2,FXFWD,1W,,SIMU,USD,HKD,-0.00128,-0.001177,Market,0,A
FX,2,FXFWD,1M,,SIMU,USD,HKD,-0.00512,-0.004707,Market,0,A
FX,2,FXFWD,2M,,SIMU,USD,HKD,-0.010096,-0.009282,Market,0,A
MM,2,INTEREST,6M,,SIMU,JPY,,0.87313,0.99813,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,SGD,1.4127,1.4127,Market,0,A
FX,2,FXFWD,3M,,SIMU,USD,HKD,-0.015072,-0.013857,Market,0,A
FX,2,FXFWD,6M,,SIMU,USD,HKD,-0.025537,-0.023478,Market,0,A
FX,2,FXFWD,9M,,SIMU,USD,HKD,-0.036001,-0.033098,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,CHF,1.4941,1.4942,Market,0,A
FX,2,FXFWD,6M,,SIMU,AUD,USD,-0.017885,-0.001767,Market,0,A
MM,2,INTEREST,7M,,SIMU,JPY,,0.9,1.025,Market,0,A
FX,2,FXFWD,1Y,,SIMU,USD,HKD,-0.043163,-0.039683,Market,0,A
FX,2,FXFWD,1W,,SIMU,USD,SGD,-0.000511,-0.000408,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,HKD,7.804,7.804,Market,0,A
FX,2,FXFWD,1M,,SIMU,USD,SGD,-0.002046,-0.001634,Market,0,A
FX,2,FXFWD,2M,,SIMU,USD,SGD,-0.004091,-0.003268,Market,0,A
FX,2,FXFWD,3M,,SIMU,USD,SGD,-0.006137,-0.004901,Market,0,A
MM,2,INTEREST,8M,,SIMU,JPY,,0.92625,1.05125,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,CAD,1.0678,1.0678,Market,0,A
FX,2,FXFWD,6M,,SIMU,USD,SGD,-0.011722,-0.009363,Market,0,A
FX,2,FXFWD,9M,,SIMU,USD,SGD,-0.016008,-0.012786,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,GBP,0.9004,0.90075,Market,0,A
FX,2,FXFWD,1Y,,SIMU,USD,SGD,-0.021116,-0.016865,Market,0,A
FX,2,FXFWD,1W,,SIMU,USD,CAD,0.000113,0.000142,Market,0,A
FX,2,FXFWD,1M,,SIMU,USD,CAD,0.000402,0.000506,Market,0,A
MM,2,INTEREST,9M,,SIMU,JPY,,0.95375,1.07875,Market,0,A
FX,2,FXFWD,9M,,SIMU,AUD,USD,-0.026212,-0.025921,Market,0,A
FX,2,FXSPOT,SP,,SIMU,BWP,USD,0.151467,0.151467,Market,0,A
FX,2,FXFWD,2M,,SIMU,USD,CAD,0.000702,0.000884,Market,0,A
FX,2,FXFWD,3M,,SIMU,USD,CAD,0.000912,0.001148,Market,0,A
FX,2,FXFWD,6M,,SIMU,USD,CAD,0.000956,0.001203,Market,0,A
FX,2,FXFWD,1M,,SIMU,EUR,SEK,0.0022,0.0037,Market,0,A
FX,2,FXFWD,9M,,SIMU,USD,CAD,0.000746,0.000938,Market,0,A
MM,2,INTEREST,ON,,SIMU,JPY,,0.4275,0.5525,Market,0,A
FX,2,FXFWD,2Y,,SIMU,EUR,CHF,-0.03157,-0.02665,Market,0,A
FX,2,FXFWD,1Y,,SIMU,USD,CAD,0.000535,0.000673,Market,0,A
FX,2,FXFWD,1W,,SIMU,USD,CHF,-0.000096,-0.000087,Market,0,A
FX,2,FXFWD,1M,,SIMU,USD,CHF,-0.000385,-0.000347,Market,0,A
FX,2,FXFWD,2M,,SIMU,USD,CHF,-0.0007,-0.000631,Market,0,A
FX,2,FXFWD,3M,,SIMU,USD,CHF,-0.001016,-0.000915,Market,0,A
MM,2,INTEREST,11M,,SIMU,EUR,,5.195,5.32,Market,0,A
FX,2,FXFWD,6M,,SIMU,USD,CHF,-0.002337,-0.002106,Market,0,A
FX,2,FXFWD,1Y,,SIMU,AUD,USD,-0.033975,-0.033593,Market,0,A
FX,2,FXFWD,9M,,SIMU,USD,CHF,-0.003418,-0.003079,Market,0,A
FX,2,FXFWD,1Y,,SIMU,USD,CHF,-0.004802,-0.004326,Market,0,A
FX,2,FXFWD,3M,,SIMU,USD,DKK,0.023848,0.024552,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,GBP,0.9006,0.90075,Market,0,A
FX,2,FXFWD,6M,,SIMU,GBP,USD,-0.029045,-0.028919,Market,0,A
MM,2,INTEREST,1W,,SIMU,EUR,,4.26188,4.38688,Market,0,A
FX,3,FXFWD,1M,,SIMU,USD,JPY,-0.1818,-0.1702,Market,0,A
FX,3,FXFWD,9M,,SIMU,EUR,USD,-0.020392,-0.019655,Market,0,A
FX,2,FXFWD,9M,,SIMU,NZD,USD,0.06031,0.061396,Market,0,A
FX,2,FXFWD,9M,,SIMU,GBP,USD,-0.041626,-0.041269,Market,0,A
FX,2,FXFWD,1W,,SIMU,USD,SEK,0.002749,0.002882,Market,0,A
FX,2,FXFWD,6M,,SIMU,USD,NOK,0.093713,0.095696,Market,0,A
MM,2,INTEREST,2W,,SIMU,EUR,,4.2875,4.4125,Market,0,A
FX,3,FXFWD,3M,,SIMU,USD,JPY,-0.5781,-0.557,Market,0,A
FX,2,FXFWD,ON,,SIMU,AUD,USD,0.000225,0.000229,Market,0,A
FX,2,FXFWD,6M,,SIMU,USD,DKK,0.050875,0.052283,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,GBP,0.9006,0.90075,Market,0,A
FX,3,FXFWD,1Y,,SIMU,EUR,USD,-0.026261,-0.025272,Market,0,A
FX,2,FXFWD,1Y,,SIMU,GBP,USD,-0.054207,-0.053619,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,SEK,6.8696,6.872437,Market,0,A
MM,2,INTEREST,3M,,SIMU,EUR,,4.83813,4.96313,Market,0,A
FX,2,FXFWD,1M,,SIMU,NZD,USD,0.006653,0.006823,Market,0,A
FX,3,FXFWD,1M,,SIMU,EUR,USD,-0.001914,-0.001854,Market,0,A
FX,3,FXFWD,ON,,SIMU,USD,ZAR,0.003,0.0035,Market,0,A
FX,2,FXFWD,1M,,SIMU,USD,SEK,0.012298,0.012895,Market,0,A
FX,2,FXFWD,1M,,SIMU,GBP,USD,-0.005027,-0.004946,Market,0,A
MM,2,INTEREST,4M,,SIMU,EUR,,4.89188,5.01688,Market,0,A
FX,2,FXSPOT,SP,,SIMU,AUD,USD,0.8232,0.824,Market,0,A
FX,2,FXFWD,TN,,SIMU,EUR,DKK,0.000421,0.000523,Market,0,A
FX,2,FXFWD,9M,,SIMU,USD,DKK,0.075415,0.077493,Market,0,A
FX,2,FXFWD,9M,,SIMU,USD,NOK,0.144166,0.147302,Market,0,A
FX,2,FXFWD,TN,,SIMU,AUD,USD,0.000112,0.000115,Market,0,A
FX,3,FXFWD,3M,,SIMU,EUR,USD,-0.006645,-0.006465,Market,0,A
FX,3,FXFWD,TN,,SIMU,USD,ZAR,0.0029,0.0034,Market,0,A
MM,2,INTEREST,5M,,SIMU,EUR,,4.98,5.105,Market,0,A
FX,2,FXFWD,3M,,SIMU,GBP,USD,-0.014351,-0.014288,Market,0,A
FX,3,FXFWD,9M,,SIMU,USD,JPY,-1.7371,-1.6747,Market,0,A
FX,2,FXFWD,2M,,SIMU,USD,SEK,0.024272,0.025451,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,USD,1.3635,1.3638,Market,0,A
FX,3,FXFWD,6M,,SIMU,EUR,USD,-0.014122,-0.013651,Market,0,A
FX,2,FXFWD,1Y,,SIMU,EUR,CHF,-0.01551,-0.01308,Market,0,A
FX,3,FXFWD,SN,,SIMU,USD,ZAR,0.0031,0.0036,Market,0,A
MM,2,INTEREST,6M,,SIMU,EUR,,5.02625,5.15125,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,NOK,5.2409,5.2472,Market,0,A
FX,2,FXFWD,6M,,SIMU,GBP,USD,-0.028952,-0.028827,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,DKK,4.7372,4.74,Market,0,A
FX,2,FXFWD,SN,,SIMU,AUD,USD,-0.000115,-0.000112,Market,0,A
FX,2,FXFWD,6M,,SIMU,NZD,USD,0.040337,0.041041,Market,0,A
FX,3,FXFWD,9M,,SIMU,EUR,USD,-0.019831,-0.019114,Market,0,A
MM,2,INTEREST,7M,,SIMU,EUR,,5.05188,5.17688,Market,0,A
FX,3,FXFWD,1Y,,SIMU,USD,JPY,-2.4906,-2.41,Market,0,A
FX,2,FXFWD,3M,,SIMU,USD,SEK,0.035285,0.036998,Market,0,A
FX,2,FXFWD,9M,,SIMU,GBP,USD,-0.041494,-0.041138,Market,0,A
FX,2,FXFWD,6M,,SIMU,EUR,GBP,-0.00069,0.00003,Market,0,A
FX,3,FXFWD,1M,,SIMU,USD,ZAR,0.0975,0.1075,Market,0,A
FX,2,FXFWD,9M,,SIMU,NZD,USD,0.060571,0.061662,Market,0,A
MM,2,INTEREST,8M,,SIMU,EUR,,5.08188,5.20688,Market,0,A
FX,3,FXFWD,1Y,,SIMU,EUR,USD,-0.025539,-0.024577,Market,0,A
FX,2,FXFWD,1Y,,SIMU,USD,NOK,0.189127,0.193302,Market,0,A
FX,3,FXFWD,TN,,SIMU,USD,JPY,-0.0062,-0.0058,Market,0,A
FX,2,FXSPOT,SP,,SIMU,GBP,USD,1.6391,1.6396,Market,0,A
FX,2,FXFWD,1Y,,SIMU,USD,DKK,0.095756,0.098388,Market,0,A
FX,2,FXFWD,1M,,SIMU,AUD,USD,-0.003438,-0.003372,Market,0,A
MM,2,INTEREST,9M,,SIMU,EUR,,5.11563,5.24063,Market,0,A
FX,2,FXFWD,6M,,SIMU,USD,SEK,0.046298,0.048546,Market,0,A
FX,2,FXFWD,1M,,SIMU,EUR,NOK,0.87,1.03,Market,0,A
FX,2,FXFWD,1Y,,SIMU,GBP,USD,-0.054035,-0.053449,Market,0,A
FX,3,FXFWD,3M,,SIMU,USD,ZAR,0.2335,0.2485,Market,0,A
FX,3,FXFWD,1M,,SIMU,EUR,USD,-0.001928,-0.001868,Market,0,A
FX,2,FXFWD,1M,,SIMU,NZD,USD,0.006679,0.006851,Market,0,A
FX,2,FXFWD,1M,,SIMU,GBP,USD,-0.005069,-0.004988,Market,0,A
MM,2,INTEREST,ON,,SIMU,EUR,,4.16625,4.29125,Market,0,A
FX,2,FXFWD,1M,,SIMU,USD,NOK,0.015965,0.016493,Market,0,A
FX,3,FXFWD,3M,,SIMU,EUR,USD,-0.006694,-0.006512,Market,0,A
FX,2,FXFWD,1M,,SIMU,USD,DKK,0.007747,0.008042,Market,0,A
FX,2,FXFWD,3M,,SIMU,GBP,USD,-0.014472,-0.014409,Market,0,A
FX,2,FXFWD,9M,,SIMU,USD,SEK,0.099077,0.103888,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,CHF,1.4941,1.4945,Market,0,A
FX,2,FXFWD,3M,,SIMU,AUD,USD,-0.009033,-0.008924,Market,0,A
MM,2,INTEREST,6M,,SIMU,USD,,2.65,2.75,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,SGD,1.4069,1.4069,Market,0,A
FX,2,FXFWD,3M,,SIMU,NZD,USD,0.019351,0.020188,Market,0,A
FX,3,FXFWD,6M,,SIMU,EUR,USD,-0.014226,-0.013752,Market,0,A
FX,3,FXFWD,1M,,SIMU,USD,JPY,-0.1862,-0.1743,Market,0,A
FX,2,FXFWD,6M,,SIMU,GBP,USD,-0.029196,-0.02907,Market,0,A
FX,2,FXFWD,3M,,SIMU,USD,DKK,0.023368,0.024058,Market,0,A
FX,2,FXFWD,1Y,,SIMU,USD,SEK,0.128783,0.135037,Market,0,A
FX,2,FXFWD,1W,,SIMU,USD,HKD,-0.001196,-0.001099,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,CAD,1.06935,1.06935,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,HKD,7.80465,7.80465,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,GBP,0.9005,0.90075,Market,0,A
FX,2,FXFWD,1M,,SIMU,USD,HKD,-0.004782,-0.004397,Market,0,A
MM,2,INTEREST,3M,,SIMU,GBP,,5.69,5.95,Market,0,A
FX,2,FXFWD,2M,,SIMU,USD,HKD,-0.009431,-0.00867,Market,0,A
FX,2,FXFWD,6M,,SIMU,AUD,USD,-0.016494,-0.00163,Market,0,A
FX,2,FXFWD,3M,,SIMU,USD,HKD,-0.014079,-0.012944,Market,0,A
FX,2,FXFWD,6M,,SIMU,USD,HKD,-0.023854,-0.021931,Market,0,A
FX,2,FXSPOT,SP,,SIMU,BWP,USD,0.152236,0.152236,Market,0,A
FX,2,FXFWD,9M,,SIMU,USD,HKD,-0.033629,-0.030917,Market,0,A
MM,2,INTEREST,1Y,,SIMU,USD,,2.78,2.88,Market,0,A
FX,2,FXFWD,1Y,,SIMU,USD,HKD,-0.040319,-0.037068,Market,0,A
FX,2,FXFWD,1W,,SIMU,USD,SGD,-0.000501,-0.0004,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,SEK,10.671,10.674,Market,0,A
FX,2,FXFWD,1M,,SIMU,USD,SGD,-0.002005,-0.001601,Market,0,A
FX,2,FXFWD,2M,,SIMU,USD,SGD,-0.00401,-0.003203,Market,0,A
FX,2,FXFWD,3M,,SIMU,USD,SGD,-0.006015,-0.004804,Market,0,A
FX,2,FXFWD,6M,,SIMU,USD,SGD,-0.011491,-0.009178,Market,0,A
FX,2,FXFWD,9M,,SIMU,USD,SGD,-0.015692,-0.012533,Market,0,A
FX,2,FXFWD,9M,,SIMU,AUD,USD,-0.024174,-0.023905,Market,0,A
FX,2,FXFWD,1Y,,SIMU,USD,SGD,-0.020699,-0.016532,Market,0,A
FX,2,FXFWD,1W,,SIMU,USD,CAD,0.000117,0.000147,Market,0,A
FX,2,FXFWD,1M,,SIMU,USD,CAD,0.000416,0.000524,Market,0,A
MM,2,INTEREST,3M,,SIMU,CHF,,2.71,2.79,Market,0,A
FX,2,FXFWD,2M,,SIMU,USD,CAD,0.000728,0.000916,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,GBP,0.9005,0.9008,Market,0,A
FX,2,FXFWD,3M,,SIMU,USD,CAD,0.000945,0.00119,Market,0,A
FX,2,FXFWD,6M,,SIMU,USD,CAD,0.000991,0.001247,Market,0,A
FX,2,FXFWD,9M,,SIMU,USD,CAD,0.000772,0.000972,Market,0,A
FX,2,FXFWD,1Y,,SIMU,USD,CAD,0.000554,0.000698,Market,0,A
FX,2,FXFWD,1W,,SIMU,USD,CHF,-0.000099,-0.000089,Market,0,A
FX,2,FXFWD,1M,,SIMU,USD,CHF,-0.000396,-0.000357,Market,0,A
FX,2,FXFWD,1W,,SIMU,EUR,SEK,0.000255,0.000504,Market,0,A
FX,2,FXFWD,2M,,SIMU,USD,CHF,-0.000721,-0.000649,Market,0,A
FX,2,FXFWD,3M,,SIMU,USD,CHF,-0.001045,-0.000942,Market,0,A
FX,2,FXFWD,1Y,,SIMU,AUD,USD,-0.031333,-0.030981,Market,0,A
FX,2,FXFWD,6M,,SIMU,USD,CHF,-0.002405,-0.002167,Market,0,A
FX,2,FXFWD,9M,,SIMU,USD,CHF,-0.003516,-0.003168,Market,0,A
MM,2,INTEREST,6M,,SIMU,GBP,,5.7,5.84,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,CHF,1.4941,1.4946,Market,0,A
FX,2,FXFWD,1Y,,SIMU,USD,CHF,-0.00494,-0.004451,Market,0,A
FX,2,FXFWD,3M,,SIMU,USD,NOK,0.046577,0.04737,Market,0,A
FX,3,FXFWD,1Y,,SIMU,USD,ZAR,0.743,0.783,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,JPY,109.61,109.67,Market,0,A
FX,3,FXFWD,9M,,SIMU,EUR,USD,-0.019977,-0.019255,Market,0,A
FX,2,FXFWD,1W,,SIMU,USD,SEK,0.002753,0.002886,Market,0,A
MM,2,INTEREST,9M,,SIMU,USD,,2.715,2.815,Market,0,A
FX,2,FXFWD,1Y,,SIMU,GBP,USD,-0.054489,-0.053898,Market,0,A
FX,3,FXFWD,1Y,,SIMU,EUR,USD,-0.025727,-0.024757,Market,0,A
FX,2,FXFWD,6M,,SIMU,USD,NOK,0.092996,0.094963,Market,0,A
FX,2,FXFWD,ON,,SIMU,AUD,USD,0.000225,0.000229,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,GBP,0.9007,0.9008,Market,0,A
FX,3,FXFWD,3M,,SIMU,USD,JPY,-0.546,-0.5261,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,SEK,6.880179,6.881922,Market,0,A
FX,2,FXFWD,6M,,SIMU,USD,DKK,0.046443,0.047729,Market,0,A
FX,2,FXFWD,9M,,SIMU,GBP,USD,-0.041842,-0.041484,Market,0,A
FX,3,FXFWD,TN,,SIMU,EUR,USD,0.000056,0.000062,Market,0,A
FX,2,FXFWD,1M,,SIMU,USD,SEK,0.012316,0.012914,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,CHF,1.150812,1.150965,Market,0,A
MM,2,INTEREST,ON,,SIMU,USD,,3.124,3.204,Market,0,A
FX,3,FXFWD,TN,,SIMU,EUR,USD,0.000056,0.000062,Market,0,A
FX,3,FXFWD,TN,,SIMU,EUR,USD,0.000056,0.000062,Market,0,A
FX,3,FXFWD,TN,,SIMU,EUR,USD,0.000056,0.000062,Market,0,A
FX,2,FXFWD,4M,,SIMU,EUR,DKK,0.0286,0.0368,Market,0,A
FX,3,FXFWD,TN,,SIMU,EUR,USD,0.000056,0.000062,Market,0,A
FX,2,FXFWD,TN,,SIMU,AUD,USD,0.000112,0.000115,Market,0,A
FX,3,FXFWD,TN,,SIMU,EUR,USD,0.000056,0.000062,Market,0,A
FX,3,FXFWD,TN,,SIMU,EUR,USD,0.000056,0.000062,Market,0,A
FX,3,FXFWD,TN,,SIMU,EUR,USD,0.000056,0.000062,Market,0,A
FX,3,FXFWD,TN,,SIMU,EUR,USD,0.000056,0.000062,Market,0,A
FX,2,FXFWD,2M,,SIMU,USD,SEK,0.024308,0.025489,Market,0,A
FX,2,FXSPOT,SP,,SIMU,AUD,USD,0.8232,0.824,Market,0,A
FX,3,FXFWD,1M,,SIMU,USD,ZAR,0.097,0.107,Market,0,A
MM,2,INTEREST,3M,,SIMU,GBP,,5.696,5.951,Market,0,A
FX,2,FXFWD,1M,,SIMU,GBP,USD,-0.005052,-0.004971,Market,0,A
FX,2,FXFWD,3M,,SIMU,NZD,USD,0.019241,0.020074,Market,0,A
